words,links,capital_words,spam_word_count,is_spam
141,10,29,5,1
333,10,0,0,1
388,1,9,8,1
194,8,5,8,1
304,3,25,8,1
40,1,5,0,0
501,7,7,5,1
172,2,8,4,0
383,8,0,0,1
65,6,16,10,1
499,2,19,4,1
121,1,3,6,0
196,1,2,6,0
54,5,12,7,1
149,6,25,5,1
127,0,4,0,0
98,5,14,5,1
629,9,7,2,1
314,7,24,2,1
168,9,22,0,1
991,5,26,3,1
395,4,6,10,1
716,4,9,8,1
54,1,1,6,0
679,3,16,5,1
275,8,1,6,1
138,6,13,5,1
646,4,25,9,1
715,2,14,7,1
241,0,0,3,0
179,0,1,2,0
276,4,3,1,0
640,5,4,5,1
109,1,2,2,0
343,10,21,9,1
195,10,25,3,1
388,3,21,9,1
603,10,11,3,1
146,3,11,4,1
190,3,26,2,1
364,10,11,1,1
106,5,3,1,0
153,2,4,0,0
162,0,3,1,0
259,0,1,6,0
256,2,3,1,0
133,0,1,1,0
53,2,2,2,0
877,9,20,5,1
244,2,0,0,0
262,2,2,2,0
142,2,1,0,0
257,0,2,0,0
185,0,3,0,0
170,2,2,2,0
206,0,0,0,0
394,9,3,8,1
114,7,11,3,1
266,0,0,0,0
393,7,20,4,1
428,9,5,2,1
426,1,0,0,0
83,2,0,0,0
405,9,1,4,1
318,2,3,0,0
281,1,4,2,0
130,8,18,8,1
106,0,1,3,0
254,4,4,8,1
74,0,2,0,0
131,5,10,2,1
254,8,5,5,1
129,1,1,2,0
115,0,3,0,0
897,4,8,3,1
260,1,1,0,0
673,1,19,3,1
846,0,4,4,1
128,5,4,3,1
540,8,0,8,1
252,10,17,9,1
234,2,2,1,0
93,1,0,2,0
747,8,18,5,1
131,5,26,3,1
340,2,9,8,1
97,1,2,0,0
202,2,3,0,0
46,1,5,1,0
760,2,24,3,1
107,2,2,1,0
183,5,23,0,1
497,1,8,1,0
164,3,0,2,0
242,1,1,3,0
331,3,1,5,1
79,4,25,6,1
784,4,27,3,1
57,0,1,1,0
273,2,10,2,0
190,9,18,8,1
465,2,3,2,0
95,5,3,7,1
326,3,10,5,0
197,1,10,0,0
70,4,5,6,1
959,2,30,3,1
172,2,1,1,0
284,2,3,1,0
207,2,9,2,0
177,4,3,5,0
82,5,30,8,1
243,1,5,2,0
282,2,1,0,0
375,2,0,0,0
269,1,3,3,0
81,1,3,1,0
124,1,1,2,0
777,3,28,3,1
166,2,5,4,1
143,5,26,4,1
487,0,2,1,0
237,6,0,5,1
159,3,0,2,0
550,4,19,4,1
241,5,26,3,1
187,0,2,0,0
242,3,1,6,0
781,8,22,2,1
52,3,0,2,0
140,2,0,1,0
145,3,26,3,1
119,5,23,1,1
275,10,28,3,1
123,3,5,4,1
322,5,2,1,0
466,0,28,9,1
855,2,15,3,1
480,2,3,0,0
270,1,2,0,0
135,5,3,0,0
238,2,2,1,0
29,2,3,5,0
215,0,0,0,0
784,4,19,9,1
808,5,4,4,1
62,0,3,3,0
183,5,2,0,0
126,1,2,1,0
691,3,26,3,1
37,0,2,1,0
128,1,3,0,0
539,4,4,3,1
225,2,27,10,1
96,0,1,6,0
283,0,2,2,0
642,5,6,6,1
717,8,22,7,1
668,9,1,5,1
273,2,0,3,0
560,9,11,0,1
114,1,20,3,1
174,1,28,6,1
208,2,8,1,0
39,4,0,1,0
119,5,1,6,0
299,0,8,0,0
439,3,27,9,1
127,9,2,7,1
331,2,2,4,0
81,2,2,2,0
272,1,1,2,0
208,0,0,1,0
79,0,8,6,0
568,8,20,0,1
237,0,3,2,0
201,2,1,2,0
39,2,1,0,0
246,5,9,3,1
731,3,13,7,1
210,5,2,1,0
138,0,3,0,0
533,1,30,5,1
78,2,3,2,0
247,2,2,0,0
90,1,3,2,0
742,6,23,6,1
244,0,0,0,0
290,0,1,0,0
82,4,5,3,1
637,5,8,10,1
434,4,8,7,1
820,10,5,9,1
344,1,0,0,0
106,1,0,2,0
629,9,21,1,1
53,0,2,4,0
301,1,9,2,0
560,3,23,9,1
130,2,11,3,1
589,8,20,6,1
261,2,0,2,0
289,0,1,1,0
613,6,5,9,1
244,2,1,2,0
502,6,4,5,1
242,2,3,5,0
49,0,3,2,0
531,4,10,1,1
240,1,1,1,0
132,0,0,1,0
293,2,0,1,0
28,0,1,0,0
71,2,8,2,0
305,1,5,7,1
476,2,3,3,0
399,0,3,2,0
307,9,17,4,1
110,5,0,2,0
293,1,3,0,0
219,1,3,1,0
173,2,18,6,1
108,10,24,10,1
704,2,9,10,1
388,7,24,2,1
279,9,14,3,1
279,2,2,5,0
29,5,5,2,0
805,3,30,0,1
83,0,3,2,0
400,0,10,0,0
979,8,28,5,1
399,5,23,5,1
821,8,7,7,1
170,4,20,7,1
935,5,28,6,1
368,1,13,4,1
64,0,0,2,0
270,4,1,1,0
127,2,15,7,1
142,0,0,2,0
275,9,3,5,1
45,0,2,2,0
285,0,1,0,0
40,2,8,1,0
247,1,2,2,0
80,3,1,0,0
40,1,10,3,0
108,4,16,9,1
336,3,3,4,0
930,0,5,7,1
612,7,16,0,1
199,10,15,4,1
21,2,3,1,0
138,5,8,7,1
451,10,30,6,1
270,0,1,1,0
602,2,7,5,1
878,7,25,3,1
177,10,6,3,1
87,0,3,2,0
32,0,3,1,0
251,3,27,6,1
474,1,2,2,0
688,8,6,1,1
426,10,29,2,1
139,5,0,1,0
76,1,15,4,1
771,0,12,8,1
565,6,7,7,1
314,0,8,5,1
491,0,2,1,0
68,2,3,2,0
78,6,21,3,1
52,2,2,2,0
53,2,0,2,0
133,2,1,0,1
694,1,29,5,1
613,2,10,9,1
232,2,30,6,1
53,0,1,1,0
317,2,0,2,0
239,2,2,2,0
198,1,3,0,0
616,4,30,5,1
460,4,0,1,0
699,4,11,10,1
208,2,15,0,1
145,6,17,7,1
456,3,11,10,1
490,1,2,6,0
28,4,0,0,0
106,1,1,0,0
441,0,3,2,0
287,2,4,0,0
960,9,19,8,1
243,2,0,0,0
71,0,0,2,0
393,5,1,1,0
280,2,2,2,0
923,2,17,1,1
995,10,7,9,1
168,0,0,1,0
21,0,1,1,0
151,2,1,0,0
164,1,3,1,0
558,3,5,0,1
23,0,1,1,0
211,4,1,0,0
355,1,4,6,0
371,0,4,6,1
891,9,28,0,1
116,2,24,1,1
418,1,21,6,1
684,0,19,2,1
67,5,2,2,0
149,5,21,9,1
175,1,1,0,0
231,2,0,2,0
238,1,2,1,0
64,0,2,0,0
268,0,1,0,0
195,9,14,0,1
180,5,7,10,1
214,0,7,1,0
108,1,4,0,0
190,9,22,8,1
458,1,3,9,1
73,2,2,0,0
159,0,1,2,0
141,7,19,3,1
140,1,3,4,0
977,7,8,4,1
170,5,1,0,0
35,2,3,2,0
223,1,6,3,0
